,experiment_name,datasplit_type,datasplit_size,datasplit_root_dir,batch_size,num_epochs,patience,data_augmentation,trunk,embedder,loss,sampler,optimizer_trunk,optimizer_trunk_lr,optimizer_trunk_weight_decay,optimizer_embedder,optimizer_embedder_lr,optimizer_embedder_weight_decay,miner,train_precision_at_1_level0,train_precision_at_3_level0,train_precision_at_5_level0,train_precision_at_10_level0,val_precision_at_1_level0,val_precision_at_3_level0,val_precision_at_5_level0,val_precision_at_10_level0,test_precision_at_1_level0,test_precision_at_3_level0,test_precision_at_5_level0,test_precision_at_10_level0
0,experiment_circleloss_convnext_tiny_provided_bear,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,circleloss,mperclass,adam,0.0001,1e-05,adam,0.001,1e-05,batcheasyhardminer,0.9047769693135084,0.9438308614704954,0.9570842537077944,0.9674976333228148,0.8514492753623188,0.889087656529517,0.9069767441860466,0.9302325581395348,0.7233115468409587,0.8045112781954887,0.836734693877551,0.8807733619763695
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9984182220816196,0.9971599873777216,0.9971599873777216,0.9971599873777216,0.960144927536232,0.964221824686941,0.966010733452594,0.9695885509838998,0.9052287581699348,0.9323308270676692,0.9484425349087005,0.9559613319011816
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9977855109142676,0.99652887346166,0.99652887346166,0.9968444304196908,0.960144927536232,0.962432915921288,0.964221824686941,0.9713774597495528,0.9052287581699348,0.9237379162191192,0.9398496240601504,0.9548872180451128
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9984182220816196,0.9971599873777216,0.9971599873777216,0.9974755443357528,0.9583333333333334,0.9552772808586762,0.962432915921288,0.966010733452594,0.908496732026144,0.9205155746509128,0.9355531686358752,0.9548872180451128
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9547101449275364,0.9499105545617174,0.958855098389982,0.9677996422182468,0.9128540305010894,0.9312567132116004,0.9419978517722878,0.9634801288936627
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9908752957080094,0.995606623859412,0.9972963839134842,0.9979722879351132,,,,,0.9481132075471698,0.9677230046948356,0.977112676056338,0.9812206572769954
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,250,40,{'rotation': {'degrees': 23.333333333333336}},resnet18,1024,arcfaceloss,mperclass,adam,0.00015264179671752333,0.0,adam,0.00015264179671752333,0.0,batcheasyhardminer,0.6917877661372085,0.7718823927002365,0.8208854342683338,0.8692125718148023,,,,,0.6639150943396226,0.7734741784037559,0.8221830985915494,0.8838028169014085
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9981018664979436,0.9968444304196908,0.9971599873777216,0.9971599873777216,0.9583333333333334,0.962432915921288,0.9695885509838998,0.9713774597495528,0.9128540305010894,0.9323308270676692,0.9430719656283566,0.9548872180451128
0,best_split_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9952686718485976,0.9966204798918552,0.9972963839134842,0.9976343359242986,,,,,0.9115566037735848,0.9460093896713616,0.9577464788732396,0.971830985915493
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9981018664979436,0.9968444304196908,0.9968444304196908,0.9968444304196908,0.967391304347826,0.962432915921288,0.964221824686941,0.9695885509838998,0.9095860566448802,0.9258861439312568,0.9344790547798066,0.949516648764769
